city_state,weight_distance,from_dallas,from_away
Connellsville_PA,10315306471.186136,1089,1549
Conover_NC,10500203590.916283,1082,1556
Conroe_TX,15131992726.857704,2034,604
Converse_TX,15268482829.173145,2282,356
Conway_AR,13126949631.447828,814,1824
Conway_SC,11017481636.739853,1164,1474
Conyers_GA,11131976692.737335,1034,1604
Cookeville_TN,10846491073.699306,953,1685
Coolidge_AZ,12318644281.419369,2049,589
Cooperstown_NY,11253603506.448872,1419,1219
Coos Bay_OR,12505810584.807598,2145,493
Coppell_TX,15363741606.459005,1554,1084
Copperas Cove_TX,15254303577.570156,2133,505
Coral Springs_FL,13206790083.68985,1654,984
Coraopolis_PA,10358932229.08886,1076,1562
Corbin_KY,10524510248.753939,973,1665
Corcoran_CA,11439595731.591219,2101,537
Cordova_MD,10593167390.718231,1209,1429
Cornelius_NC,10541949168.307898,1089,1549
Cornelius_OR,12760677227.743237,2146,492
Cornville_AZ,12075070775.510021,2047,591
Corona_CA,11486170548.73219,2098,540
Corozal_PR,14860092554.799515,2567,71
Corpus Christi_TX,15333246782.815893,2453,185
Corsicana_TX,15351180594.346745,2014,624
Corvallis_OR,12615744526.843117,2143,495
Corydon_IN,10762825544.534622,946,1692
Costa Mesa_CA,11501129652.481337,2101,537
Cottage Grove_MN,12988081810.984802,1224,1414
Cottage Grove_WI,11863598667.536085,1112,1526
Cottonwood_AZ,12062335980.809784,2047,591
Council Bluffs_IA,13388890978.523045,981,1657
Country Club Hills_IL,11256070849.22049,1062,1576
Covina_CA,11449835864.60387,2098,540
Covington_GA,11132535433.281393,1040,1598
Covington_KY,10463934980.863472,977,1661
Covington_LA,13564248598.585236,1161,1477
Coweta_OK,14105307826.202766,743,1895
Craig_CO,12852161913.90812,1983,655
Cranford_NJ,10968332948.740213,1331,1307
Cranston_RI,11739179138.052574,1623,1015
Crawfordsville_IN,10942158703.79327,950,1688
Crawfordville_FL,12322983534.20082,1257,1381
Crestview_FL,12543416742.375114,1104,1534
Crofton_MD,10476772968.837242,1193,1445
Crosby_TX,15072983415.775688,2019,619
Crossville_TN,10792096802.88516,962,1676
Crowley_LA,14341884135.36671,1218,1420
Crowley_TX,15314595700.87307,1935,703
Crown Point_IN,11160970515.187065,1041,1597
Crozet_VA,10310945105.460793,1130,1508
Crystal Lake_IL,11496459109.415825,1080,1558
Cudahy_WI,11543405079.779385,1113,1525
Cullman_AL,11531437971.728653,939,1699
Culpeper_VA,10344157032.009384,1156,1482
Culver City_CA,11459745378.68705,2101,537
Cumberland_MD,10321278201.535213,1115,1523
Cumming_GA,11007266834.019077,1021,1617
Cupertino_CA,11602221895.974495,2108,530
Curwensville_PA,10512027838.940968,1154,1484
Cuyahoga Falls_OH,10458411531.582357,1078,1560
Cypress_CA,11476806666.45477,2101,537
Dacula_GA,11035486230.701794,1032,1606
Dade City_FL,12665498507.878307,1424,1214
Dallas_GA,11183555987.161366,1010,1628
Dallas_NC,10572393015.61327,1084,1554
Duluth_MN,13228396354.173166,1366,1272
Dumont_NJ,11066946298.07266,1361,1277
Duncan_OK,14837984217.053677,1176,1462
Dundalk_MD,10505963044.329071,1199,1439
Dunedin_FL,12831120347.772402,1452,1186
Dunn_NC,10694109737.082943,1145,1493
Durham_NC,10535420174.837029,1137,1501
Dyersburg_TN,11862310757.079536,873,1765
Eagle Mountain_UT,12231994821.215008,2043,595
Eagle Pass_TX,15018575801.60421,2192,446
Eagle_CO,12903431289.114792,1973,665
Easley_SC,10727572455.780598,1056,1582
East Chicago_IN,11209035564.647434,1065,1573
East Jordan_MI,11786163302.63573,1322,1316
East Liverpool_OH,10369603191.286327,1072,1566
East Meadow_NY,11141400076.500591,1372,1266
East Northport_NY,11217445534.878666,1407,1231
East Orange_NJ,10998187274.324165,1338,1300
East Providence_RI,11771317402.116186,1630,1008
East Rochester_NY,11084874060.674103,1328,1310
Eastlake_OH,10560273441.362251,1102,1536
Easton_PA,10813738823.952187,1284,1354
Eastpointe_MI,10793873249.33456,1142,1496
Eau Claire_WI,12691342452.574118,1225,1413
Ebensburg_PA,10417705716.674965,1124,1514
Eden Prairie_MN,13105405462.23581,1227,1411
Eden_NC,10403169921.519238,1110,1528
Edinburg_TX,15380182771.091505,2528,110
Edmond_OK,14497147075.292706,691,1947
Edmonds_WA,13182370238.636415,2151,487
Edwardsville_IL,11797748632.872612,900,1738
El Cajon_CA,11703648518.796526,2100,538
El Campo_TX,15212992139.492361,2307,331
El Centro_CA,11833187609.631424,2087,551
El Cerrito_CA,11651906317.44922,2110,528
El Dorado Hills_CA,11622562668.022873,2103,535
El Dorado_KS,13952909077.627617,698,1940
El Mirage_AZ,12111056954.371405,2050,588
El Monte_CA,11448079081.590488,2098,540
El Paso_TX,13398008458.12371,2037,601
El Reno_OK,14559435233.017262,830,1808
El Segundo_CA,11470762261.912312,2101,537
El Sobrante_CA,11490918178.370808,2097,541
Eldon_MO,12703059378.092276,830,1808
Elgin_IL,11460499614.963825,1077,1561
Elgin_TX,15316179631.05899,2343,295
Elizabeth_NJ,10991225277.722187,1336,1302
Elizabethtown_KY,10742846834.58343,952,1686
Elk Grove Village_IL,11374648976.28855,1079,1559
Elk Grove_CA,11613545143.277973,2104,534
Elk River_MN,13207369311.576172,1271,1367
Elkhart_IN,10956073822.550493,1065,1573
Elkhorn_WI,11628958057.587029,1082,1556
Elkridge_MD,10468775395.5704,1192,1446
Ellensburg_WA,12986858518.642889,2144,494
Ellicott City_MD,10458798146.276346,1189,1449
Elmhurst_IL,11346158793.610577,1076,1562
Elmira_NY,10898763733.471222,1290,1348
Elmont_NY,11102377369.53417,1364,1274
Elmwood Park_IL,11320915443.010094,1079,1559
Elwood_IN,10745612633.842802,972,1666
Elyria_OH,10513900841.455524,1075,1563
Emeryville_CA,11646018277.313549,2109,529
Encinitas_CA,11636691431.507366,2100,538
Englewood_CO,13195097863.288643,1933,705
Englishtown_NJ,10932732823.688133,1308,1330
Ennis_MT,13078085876.761276,2046,592
Enola_PA,10535216664.715248,1212,1426
Enterprise_AL,12188192217.28342,1065,1573
Ephrata_PA,10611155733.943085,1236,1402
Erie_CO,13207178094.168041,1933,705
Erie_PA,10687293814.611645,1173,1465
Erlanger_KY,10473541743.445465,976,1662
Escondido_CA,11631853986.283676,2098,540
Essex_MD,10514218727.569431,1202,1436
Euclid_OH,10545262009.857502,1097,1541
Eugene_OR,12525840651.905718,2138,500
Euless_TX,15360368862.762926,1872,766
Eureka_CA,12159067940.326298,2123,515
Evans_GA,11021006315.341259,1095,1543
Evanston_IL,11316256404.03342,1085,1553
Evanston_WY,12469828431.647419,2033,605
Evansville_IN,11107319865.169893,919,1719
Everett_MA,11912245633.36636,1654,984
Everett_WA,13209068553.516907,2151,487
Evergreen Park_IL,11267955743.195152,1075,1563
Evergreen_CO,13137799589.903818,1941,697
Ewa Beach_HI,15083872644.275414,2617,21
Excelsior Springs_MO,13100812919.257004,900,1738
Fair Oaks_CA,11629472425.756943,2103,535
Fairbanks_AK,15291237051.809986,2568,70
Fairborn_OH,10431447573.211926,999,1639
Fairfax_VA,10399269999.121204,1170,1468
Fairfield_CA,11649569804.222363,2108,530
